e7segment,firebaseid,article_cluster,top_keywords,article_count,articles_read,page_duration
3. Normal User,5aAtUvSrZVTc8f7dg4X6XshFMWo1,10751,"killed, crashes, crash, injured, people, death, kzn, roads",7,1,22
3. Normal User,mnureGbUYRNiOqq5vh97uEch43x1,10751,"killed, crashes, crash, injured, people, death, kzn, roads",7,1,900
3. Normal User,7Z6zUpVQn4c6eiZlPmTx3ugS2DA2,10751,"killed, crashes, crash, injured, people, death, kzn, roads",7,2,51.5
2. Low Score,nK2PmFXaiegQE0Wxwb8NZXxEmFn2,10751,"killed, crashes, crash, injured, people, death, kzn, roads",7,1,900
4. Good User,fNUvVLuSBFMVzYKWWCCY84JwBEy1,10751,"killed, crashes, crash, injured, people, death, kzn, roads",7,2,66.5
3. Normal User,bwfUSfgF0pSxoI6f23svvCcYfYv2,10751,"killed, crashes, crash, injured, people, death, kzn, roads",7,2,83
3. Normal User,qh4rA1jBiIbKTluiueGFUny33cE2,10751,"killed, crashes, crash, injured, people, death, kzn, roads",7,2,57.5
4. Good User,rHl0RSGidCRXE0pXSCH02JVkqpK2,10776,"kzn, water, areas, letters, blocked, drain, spills, street",15,5,374
1. Very Low Score,DC7zOET54Fc3e6T2mpwh8S8eLZx1,10054,"look, couple, converted, bendy, bus, family, home, toddler",1,1,13
2. Low Score,WPovR6LQifehl5z61Y7CsjmYpD32,9221,"look, sandton, africa, highest, urban, bar, moët, vending",1,1,900
3. Normal User,tVH6A1c9r6SKRU8Q5exOFdkBEHH3,10473,"mining charter, court, big, blow, govt, sets, aside, parts",3,2,73
3. Normal User,JLqd5GovE2fN7wiAMTUZ1v8q67t2,9866,"third wave, opinion, richard, van, zyl, steam, taken, toll",1,1,82
2. Low Score,AKxuuS2Qs9V3nGYVyfTMXHCEVrs2,10013,"watch, close, personal, nissan, 400z, twinturbo, 294kw, v6",1,1,13
4. Good User,lUpgIXOOJqYYx7IrVysND1pBtuB3,10108,"blood, water, ratched, expect, season, night, house, master",28,2,487.5
3. Normal User,5pvZUcbiO4h0FKlln6g5RPpxqqj1,10108,"blood, water, ratched, expect, season, night, house, master",28,2,458.5
3. Normal User,lnYNNsD3cTWFGBooKhywvgk5nAz2,10108,"blood, water, ratched, expect, season, night, house, master",28,2,43.5
5. Super User,vwlbpEc00rTVsBNOuumIFoJy2lp1,10108,"blood, water, ratched, expect, season, night, house, master",28,10,188.5
3. Normal User,TvGTrdTu05eOhxNVcywJ4AL9WSh1,2421,"car, vehicle, tips, know, change, car doctor, avoid, winter",41,2,65.5
4. Good User,zoK5MViu67V55n2vwKjHqvBIPDQ2,10252,"cop, death, dna, man, court, officials, arrested, disappear",12,5,115.6
3. Normal User,8VNYwubAj0cb9HOIxkOGYMG1g3z1,10252,"cop, death, dna, man, court, officials, arrested, disappear",12,1,900
2. Low Score,CTKZQQ5LqdYhCPm7RKdHDJHWSl92,7508,"court, kinnear, murder, modack, hears, case, birthday, king",4,2,72.5
1. Very Low Score,xg3QgtjyathHh5ZuHLz271ci7Jv2,8589,"diana, ad, eyes, saw, camilla, wedding, royal, photographer",5,1,472
2. Low Score,4StCPnPyIGMly4ELTMbY44h9H0w2,11331,"ipl, t20 world cup, proteas, win, delhi, mumbai, ab, bavuma",20,1,0
5. Super User,eICqljp5s5VrBMcM90B7F1STJ102,11331,"ipl, t20 world cup, proteas, win, delhi, mumbai, ab, bavuma",20,3,359
2. Low Score,DRpdpgDFJRPxCOSkJp7CvfguQ6Q2,9517,"level 2, liquor, stores, open, fridays, better, extra, hour",2,1,10
4. Good User,oTnjxjsXFxU7rUXFw02kR1sfx5i2,9561,"ndlovu, rosemary, man, court, handed, years, murders, excop",35,8,163.88
3. Normal User,qaQCYdxkhtXEGdpLr4h0bgsrqQt1,9561,"ndlovu, rosemary, man, court, handed, years, murders, excop",35,3,85.33
4. Good User,hUvS9DlEH0aUDXdigBUEjuHRKLH2,9561,"ndlovu, rosemary, man, court, handed, years, murders, excop",35,4,60.25
5. Super User,ugmklKDgPFM0CzZ8WW1BvDsQaod2,9561,"ndlovu, rosemary, man, court, handed, years, murders, excop",35,6,87.67
5. Super User,aJh4Um9CyNgrGtwRc2IyTCDxr5N2,9561,"ndlovu, rosemary, man, court, handed, years, murders, excop",35,6,178
3. Normal User,dAXKZf0f8rO7nUpYPREg7pLEs1h2,9561,"ndlovu, rosemary, man, court, handed, years, murders, excop",35,2,10.5
3. Normal User,ySyE8br7yzRMIyANxvl4oPBxMrV2,9561,"ndlovu, rosemary, man, court, handed, years, murders, excop",35,2,37
3. Normal User,0Hex4lHhJ2YZTEyGFyX8gKeeFbN2,9561,"ndlovu, rosemary, man, court, handed, years, murders, excop",35,3,86
4. Good User,nn2kKHmyqwRoMlnVr7hhw9jUnKk2,9561,"ndlovu, rosemary, man, court, handed, years, murders, excop",35,3,43.33
4. Good User,pjiMvKtLboPR6wp90WiKtxn8meN2,9561,"ndlovu, rosemary, man, court, handed, years, murders, excop",35,3,82.33
5. Super User,stFaXCKazmODMWUXqnrvCqRJOS53,9561,"ndlovu, rosemary, man, court, handed, years, murders, excop",35,3,900
1. Very Low Score,KfUqyKeeowfzthujUNNwxatZ8SI2,9561,"ndlovu, rosemary, man, court, handed, years, murders, excop",35,1,174
3. Normal User,8QMu91f0DGdDMgWSXoclrDLN8Dh2,9561,"ndlovu, rosemary, man, court, handed, years, murders, excop",35,3,54.67
3. Normal User,bPWAxv4sI4TQ1KF61QCuCNZenp72,9561,"ndlovu, rosemary, man, court, handed, years, murders, excop",35,3,83.67
3. Normal User,KKooa5ZgEEZhvDscxcEkUZJlYEG2,9561,"ndlovu, rosemary, man, court, handed, years, murders, excop",35,3,192.67
3. Normal User,lu14cuJnOydaQhaV1IdzmlXp0er2,11187,"pick n pay, liable, woman, struck, head, boom, gate, stores",1,1,861
1. Very Low Score,N6ZwBFu7yVUIcE32QpmID7NTjXC2,11187,"pick n pay, liable, woman, struck, head, boom, gate, stores",1,1,47
3. Normal User,bZJveEL3MaT7qHu7IYmoazB8AyG3,10584,"podcast, story, school, david, mackenzie, boys, water, polo",4,3,32.67
3. Normal User,TzOVegamdlcstVi8cbm7uPpPxS92,10584,"podcast, story, school, david, mackenzie, boys, water, polo",4,2,360
3. Normal User,GfJtcG3wX0PZO2OI88s7tA7WHd22,10584,"podcast, story, school, david, mackenzie, boys, water, polo",4,3,319
4. Good User,CVWUTLbJ3mNLeXcD6EaQCIeJyj92,10584,"podcast, story, school, david, mackenzie, boys, water, polo",4,4,256.5
4. Good User,lqItboBqoWf74C8eSdNpXrU57083,10584,"podcast, story, school, david, mackenzie, boys, water, polo",4,3,153.67
